Daily Dates,Daily Closing Prices,Weekly Dates,Weekly Closing Prices,Monthly Dates,Monthly Closing Prices,Annually Dates,Annually Closing Prices
07/04/2016,2800,,,,,,
06/04/2016,2762,,,,,,
05/04/2016,2630,,,,,,
04/04/2016,2680,,,,,,
03/04/2016,2676,,,,,,
31/03/2016,2678,,,,,,
30/03/2016,2705,,,,,,
29/03/2016,2732,,,,,,
28/03/2016,2616,,,,,,
27/03/2016,2548,,,,,,
23/03/2016,2566,,,,,,
22/03/2016,2596,,,,,,
21/03/2016,2595,,,,,,
20/03/2016,2620,,,,,,
17/03/2016,2555,,,,,,
16/03/2016,2556,,,,,,
15/03/2016,2357,,,,,,
14/03/2016,2250,,,,,,
13/03/2016,2257,,,,,,
10/03/2016,2233,,,,,,
09/03/2016,2265,,,,,,
08/03/2016,2319,,,,,,
07/03/2016,2363,,,,,,
06/03/2016,2373,,,,,,
03/03/2016,2392,,,,,,
02/03/2016,2400,,,,,,
01/03/2016,2369,,,,,,
29/02/2016,2354,,,,,,
28/02/2016,2337,,,,,,
25/02/2016,2317,,,,,,
24/02/2016,2301,,,,,,
23/02/2016,2304,,,,,,
22/02/2016,2286,,,,,,
21/02/2016,2342,,,,,,
18/02/2016,2360,,,,,,
17/02/2016,2387,,,,,,
16/02/2016,2386,,,,,,
15/02/2016,2391,,,,,,
14/02/2016,2355,,,,,,
11/02/2016,2339,,,,,,
10/02/2016,2429,,,,,,
09/02/2016,2428,,,,,,
08/02/2016,2460,,,,,,
07/02/2016,2511,,,,,,
04/02/2016,2530,,,,,,
03/02/2016,2528,,,,,,
02/02/2016,2532,,,,,,
01/02/2016,2538,,,,,,
31/01/2016,2577,,,,,,
28/01/2016,2530,,,,,,
27/01/2016,2450,,,,,,
26/01/2016,2428,,,,,,
25/01/2016,2449,,,,,,
24/01/2016,2480,,,,,,
21/01/2016,2502,,,,,,
20/01/2016,2473,,,,,,
19/01/2016,2637,,,,,,
18/01/2016,2624,,,,,,
17/01/2016,2557,,,,,,
14/01/2016,2611,,,,,,
13/01/2016,2681,,,,,,
12/01/2016,2698,,,,,,
11/01/2016,2674,,,,,,
10/01/2016,2621,,,,,,
07/01/2016,2660,,,,,,
06/01/2016,2729,,,,,,
05/01/2016,2644,,,,,,
04/01/2016,2492,,,,,,
03/01/2016,2500,,,,,,
31/12/2015,2423,,,,,,
30/12/2015,2430,,,,,,
29/12/2015,2453,,,,,,
28/12/2015,2507,,,,,,
27/12/2015,2497,,,,,,
24/12/2015,2457,,,,,,
23/12/2015,2418,,,,,,
22/12/2015,2461,,,,,,
21/12/2015,2522,,,,,,
20/12/2015,2450,,,,,,
17/12/2015,2520,,,,,,
16/12/2015,2619,,,,,,
15/12/2015,2637,,,,,,
14/12/2015,2520,,,,,,
13/12/2015,2540,,,,,,
10/12/2015,2652,,,,,,
09/12/2015,2705,,,,,,
08/12/2015,2759,,,,,,
07/12/2015,2782,,,,,,
06/12/2015,2803,,,,,,
03/12/2015,2815,,,,,,
02/12/2015,2776,,,,,,
01/12/2015,2752,,,,,,
30/11/2015,2760,,,,,,
29/11/2015,2759,,,,,,
26/11/2015,2828,,,,,,
25/11/2015,2828,,,,,,
24/11/2015,2751,,,,,,
23/11/2015,2815,,,,,,
22/11/2015,2806,,,,,,
19/11/2015,2839,,,,,,
18/11/2015,2908,,,,,,
17/11/2015,2898,,,,,,
16/11/2015,2846,,,,,,
15/11/2015,2762,,,,,,
12/11/2015,2825,,,,,,
11/11/2015,2775,,,,,,
10/11/2015,2840,,,,,,
09/11/2015,2880,,,,,,
08/11/2015,2850,,,,,,
05/11/2015,2850,,,,,,
04/11/2015,2930,,,,,,
03/11/2015,3030,,,,,,
02/11/2015,3069,,,,,,
01/11/2015,2950,,,,,,
29/10/2015,2880,,,,,,
28/10/2015,2880,,,,,,
27/10/2015,2999,,,,,,
26/10/2015,3060,,,,,,
25/10/2015,2953,,,,,,
22/10/2015,2948,,,,,,
21/10/2015,2948,,,,,,
20/10/2015,2766,,,,,,
19/10/2015,2707,,,,,,
18/10/2015,2752,,,,,,
15/10/2015,2722,,,,,,
14/10/2015,2616,,,,,,
13/10/2015,2630,,,,,,
12/10/2015,2619,,,,,,
11/10/2015,2433,,,,,,
08/10/2015,2470,,,,,,
07/10/2015,2434,,,,,,
06/10/2015,2363,,,,,,
01/10/2015,2380,,,,,,
30/09/2015,2460,,,,,,
29/09/2015,2585,,,,,,
24/09/2015,2620,,,,,,
21/09/2015,2679,,,,,,
20/09/2015,2640,,,,,,
17/09/2015,2700,,,,,,
16/09/2015,2676,,,,,,
10/09/2015,2725,,,,,,
09/09/2015,2662,,,,,,
08/09/2015,2600,,,,,,
07/09/2015,2542,,,,,,
06/09/2015,2572,,,,,,
03/09/2015,2599,,,,,,
02/09/2015,2624,,,,,,
01/09/2015,2571,,,,,,
31/08/2015,2556,,,,,,
30/08/2015,2523,,,,,,
27/08/2015,2560,,,,,,
26/08/2015,2685,,,,,,
25/08/2015,2325,,,,,,
24/08/2015,2230,,,,,,
23/08/2015,2324,,,,,,
20/08/2015,2421,,,,,,
19/08/2015,2585,,,,,,
18/08/2015,2764,,,,,,
17/08/2015,2667,,,,,,
16/08/2015,2495,,,,,,
13/08/2015,2370,,,,,,
12/08/2015,2345,,,,,,
11/08/2015,2375,,,,,,
10/08/2015,2366,,,,,,
09/08/2015,2248,,,,,,
06/08/2015,2243,,,,,,
05/08/2015,2323,,,,,,
04/08/2015,2369,,,,,,
03/08/2015,2363,,,,,,
02/08/2015,2325,,,,,,
30/07/2015,2340,,,,,,
29/07/2015,2353,,,,,,
28/07/2015,2320,,,,,,
27/07/2015,2151,,,,,,
23/07/2015,2170,,,,,,
22/07/2015,2197,,,,,,
21/07/2015,2210,,,,,,
20/07/2015,2200,,,,,,
19/07/2015,1990,,,,,,
16/07/2015,1895,,,,,,
15/07/2015,1635,,,,,,
14/07/2015,1520,,,,,,
13/07/2015,1475,,,,,,
12/07/2015,1424,,,,,,
09/07/2015,1396,,,,,,
08/07/2015,1390,,,,,,
07/07/2015,1420,,,,,,
06/07/2015,1418,,,,,,
05/07/2015,1439,,,,,,
02/07/2015,1445,,,,,,
01/07/2015,1465,,,,,,
30/06/2015,1509,,,,,,
29/06/2015,1532,,,,,,
28/06/2015,1544,,,,,,
25/06/2015,1565,,,,,,
24/06/2015,1452,,,,,,
23/06/2015,1487,,,,,,
22/06/2015,1504,,,,,,
21/06/2015,1472,,,,,,
18/06/2015,1455,,,,,,
17/06/2015,1472,,,,,,
16/06/2015,1483,,,,,,
15/06/2015,1475,,,,,,
14/06/2015,1505,,,,,,
11/06/2015,1506,,,,,,
10/06/2015,1508,,,,,,
09/06/2015,1535,,,,,,
08/06/2015,1562,,,,,,
07/06/2015,1577,,,,,,
04/06/2015,1579,,,,,,
03/06/2015,1562,,,,,,
02/06/2015,1577,,,,,,
01/06/2015,1618,,,,,,
31/05/2015,1565,,,,,,
28/05/2015,1593,,,,,,
27/05/2015,1520,,,,,,
26/05/2015,1535,,,,,,
25/05/2015,1574,,,,,,
21/05/2015,1560,,,,,,
20/05/2015,1571,,,,,,
19/05/2015,1606,,,,,,
18/05/2015,1588,,,,,,
17/05/2015,1551,,,,,,
14/05/2015,1558,,,,,,
13/05/2015,1607,,,,,,
12/05/2015,1643,,,,,,
11/05/2015,1691,,,,,,
10/05/2015,1702,,,,,,
07/05/2015,1718,,,,,,
06/05/2015,1748,,,,,,
05/05/2015,1801,,,,,,
04/05/2015,1827,,,,,,
03/05/2015,1788,,,,,,
30/04/2015,1781,,,,,,
29/04/2015,1779,,,,,,
28/04/2015,1815,,,,,,
27/04/2015,1858,,,,,,
26/04/2015,1873,,,,,,
21/04/2015,1902,,,,,,
20/04/2015,1931,,,,,,
19/04/2015,1951,,,,,,
16/04/2015,2020,,,,,,
15/04/2015,2018,,,,,,
14/04/2015,1966,,,,,,
13/04/2015,1983,,,,,,
12/04/2015,1964,,,,,,
08/04/2015,1905,,,,,,
07/04/2015,1948,,,,,,
06/04/2015,1914,,,,,,
05/04/2015,1881,,,,,,
02/04/2015,1845,,,,,,
01/04/2015,1881,,,,,,
31/03/2015,1923,,,,,,
30/03/2015,1994,,,,,,
29/03/2015,2012,,,,,,
26/03/2015,2040,,,,,,
25/03/2015,1982,,,,,,
24/03/2015,1961,,,,,,
23/03/2015,1982,,,,,,
22/03/2015,2045,,,,,,
19/03/2015,2052,,,,,,
18/03/2015,2049,,,,,,
16/03/2015,2019,,,,,,
15/03/2015,1955,,,,,,
12/03/2015,2010,,,,,,
11/03/2015,2090,,,,,,
10/03/2015,2262,,,,,,
09/03/2015,2284,,,,,,
08/03/2015,2335,,,,,,
04/03/2015,2380,,,,,,
03/03/2015,2372,,,,,,
02/03/2015,2296,,,,,,
01/03/2015,2352,,,,,,
26/02/2015,2352,,,,,,
25/02/2015,2390,,,,,,
24/02/2015,2397,,,,,,
23/02/2015,2436,,,,,,
22/02/2015,2478,,,,,,
19/02/2015,2364,,,,,,
18/02/2015,2330,,,,,,
17/02/2015,2343,,,,,,
16/02/2015,2357,,,,,,
15/02/2015,2234,,,,,,
12/02/2015,2230,,,,,,
11/02/2015,2223,,,,,,
10/02/2015,2285,,,,,,
09/02/2015,2235,,,,,,
08/02/2015,2220,,,,,,
05/02/2015,2170,,,,,,
04/02/2015,2131,,,,,,
03/02/2015,2188,,,,,,
02/02/2015,1947,,,,,,
01/02/2015,2024,,,,,,
29/01/2015,2079,,,,,,
28/01/2015,2101,,,,,,
27/01/2015,2148,,,,,,
26/01/2015,2070,,,,,,
25/01/2015,2045,,,,,,
22/01/2015,2150,,,,,,
21/01/2015,2157,,,,,,
20/01/2015,2136,,,,,,
19/01/2015,1960,,,,,,
18/01/2015,2220,,,,,,
15/01/2015,2387,,,,,,
14/01/2015,2379,,,,,,
13/01/2015,2490,,,,,,
12/01/2015,2622,,,,,,
11/01/2015,2692,,,,,,
08/01/2015,2739,,,,,,
07/01/2015,2775,,,,,,
06/01/2015,2833,,,,,,
05/01/2015,2891,,,,,,
04/01/2015,3019,,,,,,
01/01/2015,3269,,,,,,
31/12/2014,3396,,,,,,
30/12/2014,3350,,,,,,
29/12/2014,3455,,,,,,
28/12/2014,3572,,,,,,
25/12/2014,3667,,,,,,
24/12/2014,3669,,,,,,
23/12/2014,3590,,,,,,
22/12/2014,3566,,,,,,
21/12/2014,3514,,,,,,
18/12/2014,3527,,,,,,
17/12/2014,3457,,,,,,
16/12/2014,3470,,,,,,
15/12/2014,3592,,,,,,
14/12/2014,3597,,,,,,
11/12/2014,3597,,,,,,
10/12/2014,3540,,,,,,
09/12/2014,3567,,,,,,
08/12/2014,3616,,,,,,
07/12/2014,3611,,,,,,
04/12/2014,3687,,,,,,
03/12/2014,3732,,,,,,
02/12/2014,3694,,,,,,
01/12/2014,3650,,,,,,
30/11/2014,3685,,,,,,
27/11/2014,3638,,,,,,
26/11/2014,3519,,,,,,
25/11/2014,3445,,,,,,
24/11/2014,3517,,,,,,
23/11/2014,3550,,,,,,
20/11/2014,3552,,,,,,
19/11/2014,3582,,,,,,
18/11/2014,3487,,,,,,
17/11/2014,3455,,,,,,
16/11/2014,3529,,,,,,
13/11/2014,3550,,,,,,
12/11/2014,3613,,,,,,
11/11/2014,3714,,,,,,
10/11/2014,3758,,,,,,
09/11/2014,3729,,,,,,
06/11/2014,3781,,,,,,
05/11/2014,3748,,,,,,
04/11/2014,3750,,,,,,
03/11/2014,3820,,,,,,
02/11/2014,3770,,,,,,
30/10/2014,3838,,,,,,
29/10/2014,3929,,,,,,
28/10/2014,3979,,,,,,
27/10/2014,3968,,,,,,
26/10/2014,3936,,,,,,
23/10/2014,3950,,,,,,
22/10/2014,3965,,,,,,
21/10/2014,3992,,,,,,
20/10/2014,3925,,,,,,
19/10/2014,3974,,,,,,
14/10/2014,4026,,,,,,
13/10/2014,4050,,,,,,
12/10/2014,4020,,,,,,
07/10/2014,4171,,,,,,
06/10/2014,4148,,,,,,
05/10/2014,4033,,,,,,
02/10/2014,4075,,,,,,
01/10/2014,4040,,,,,,
30/09/2014,4070,,,,,,
29/09/2014,4074,,,,,,
28/09/2014,4173,,,,,,
23/09/2014,4221,,,,,,
22/09/2014,4192,,,,,,
21/09/2014,4272,,,,,,
18/09/2014,4232,,,,,,
17/09/2014,4307,,,,,,
16/09/2014,4258,,,,,,
15/09/2014,4270,,,,,,
14/09/2014,4370,,,,,,
11/09/2014,4420,,,,,,
10/09/2014,4408,,,,,,
09/09/2014,4359,,,,,,
08/09/2014,4341,,,,,,
07/09/2014,4360,,,,,,
04/09/2014,4316,,,,,,
03/09/2014,4284,,,,,,
02/09/2014,4184,,,,,,
01/09/2014,4189,,,,,,
31/08/2014,4157,,,,,,
28/08/2014,4183,,,,,,
27/08/2014,4217,,,,,,
26/08/2014,4116,,,,,,
25/08/2014,4033,,,,,,
24/08/2014,4070,,,,,,
21/08/2014,4113,,,,,,
20/08/2014,4093,,,,,,
19/08/2014,4141,,,,,,
18/08/2014,4189,,,,,,
17/08/2014,4246,,,,,,
14/08/2014,4270,,,,,,
13/08/2014,4270,,,,,,
12/08/2014,4218,,,,,,
11/08/2014,4241,,,,,,
10/08/2014,4181,,,,,,
07/08/2014,4179,,,,,,
06/08/2014,4205,,,,,,
04/08/2014,4211,,,,,,
03/08/2014,4191,,,,,,
31/07/2014,4239,,,,,,
30/07/2014,4243,,,,,,
29/07/2014,4215,,,,,,
28/07/2014,4228,,,,,,
27/07/2014,4205,,,,,,
24/07/2014,4220,,,,,,
23/07/2014,4220,,,,,,
22/07/2014,4172,,,,,,
21/07/2014,4214,,,,,,
20/07/2014,4121,,,,,,
17/07/2014,4119,,,,,,
16/07/2014,4056,,,,,,
15/07/2014,4013,,,,,,
14/07/2014,4090,,,,,,
13/07/2014,4085,,,,,,
10/07/2014,3970,,,,,,
09/07/2014,3962,,,,,,
08/07/2014,3960,,,,,,
07/07/2014,3950,,,,,,
06/07/2014,4036,,,,,,
03/07/2014,4080,,,,,,
02/07/2014,4089,,,,,,
01/07/2014,4120,,,,,,
30/06/2014,4185,,,,,,
29/06/2014,4189,,,,,,
26/06/2014,4250,,,,,,
25/06/2014,4355,,,,,,
24/06/2014,4497,,,,,,
23/06/2014,4497,,,,,,
22/06/2014,4424,,,,,,
19/06/2014,4440,,,,,,
18/06/2014,4484,,,,,,
17/06/2014,4508,,,,,,
16/06/2014,4552,,,,,,
15/06/2014,4562,,,,,,
12/06/2014,4626,,,,,,
11/06/2014,4696,,,,,,
10/06/2014,4710,,,,,,
09/06/2014,4708,,,,,,
08/06/2014,4641,,,,,,
05/06/2014,4588,,,,,,
02/06/2014,4484,,,,,,
01/06/2014,4547,,,,,,
29/05/2014,4550,,,,,,
28/05/2014,4523,,,,,,
27/05/2014,4554,,,,,,
26/05/2014,4595,,,,,,
25/05/2014,4519,,,,,,
22/05/2014,4516,,,,,,
21/05/2014,4527,,,,,,
20/05/2014,4566,,,,,,
19/05/2014,4525,,,,,,
18/05/2014,4572,,,,,,
15/05/2014,4505,,,,,,
14/05/2014,4576,,,,,,
13/05/2014,4345,,,,,,
12/05/2014,4351,,,,,,
11/05/2014,4357,,,,,,
08/05/2014,4361,,,,,,
07/05/2014,4334,,,,,,
04/05/2014,4378,,,,,,
01/05/2014,4413,,,,,,
30/04/2014,4382,,,,,,
29/04/2014,4495,,,,,,
28/04/2014,4499,,,,,,
27/04/2014,4580,,,,,,
24/04/2014,4648,,,,,,
23/04/2014,4693,,,,,,
22/04/2014,4727,,,,,,
17/04/2014,4764,,,,,,
16/04/2014,4839,,,,,,
13/04/2014,4811,,,,,,
10/04/2014,4817,,,,,,
09/04/2014,4749,,,,,,
08/04/2014,4805,,,,,,
07/04/2014,4740,,,,,,
06/04/2014,4754,,,,,,
03/04/2014,4724,,,,,,
02/04/2014,4615,,,,,,
01/04/2014,4713,,,,,,
31/03/2014,4774,,,,,,
30/03/2014,4794,,,,,,
27/03/2014,4783,,,,,,
26/03/2014,4735,,,,,,
25/03/2014,4661,,,,,,
24/03/2014,4608,,,,,,
23/03/2014,4587,,,,,,
20/03/2014,4483,,,,,,
19/03/2014,4598,,,,,,
18/03/2014,4608,,,,,,
17/03/2014,4633,,,,,,
13/03/2014,4543,,,,,,
12/03/2014,4503,,,,,,
11/03/2014,4540,,,,,,
10/03/2014,4454,,,,,,
09/03/2014,4447,,,,,,
06/03/2014,4410,,,,,,
05/03/2014,4376,,,,,,
04/03/2014,4377,,,,,,
03/03/2014,4350,,,,,,
02/03/2014,4409,,,,,,
27/02/2014,4407,,,,,,
26/02/2014,4395,,,,,,
25/02/2014,4385,,,,,,
24/02/2014,4343,,,,,,
23/02/2014,4293,,,,,,
20/02/2014,4305,,,,,,
19/02/2014,4337,,,,,,
18/02/2014,4388,,,,,,
17/02/2014,4457,,,,,,
16/02/2014,4390,,,,,,
13/02/2014,4378,,,,,,
12/02/2014,4356,,,,,,
11/02/2014,4377,,,,,,
10/02/2014,4345,,,,,,
09/02/2014,4345,,,,,,
06/02/2014,4300,,,,,,
05/02/2014,4338,,,,,,
04/02/2014,4293,,,,,,
03/02/2014,4222,,,,,,
02/02/2014,4328,,,,,,
30/01/2014,4406,,,,,,
29/01/2014,4441,,,,,,
28/01/2014,4535,,,,,,
27/01/2014,4536,,,,,,
26/01/2014,4536,,,,,,
23/01/2014,4602,,,,,,
22/01/2014,4600,,,,,,
21/01/2014,4588,,,,,,
20/01/2014,4608,,,,,,
19/01/2014,4608,,,,,,
16/01/2014,4666,,,,,,
15/01/2014,4648,,,,,,
14/01/2014,4590,,,,,,
13/01/2014,4577,,,,,,
12/01/2014,4627,,,,,,
09/01/2014,4619,,,,,,
08/01/2014,4675,,,,,,
07/01/2014,4730,,,,,,
06/01/2014,4679,,,,,,
05/01/2014,4695,,,,,,
02/01/2014,4723,,,,,,
01/01/2014,4850,,,,,,
31/12/2013,4784,,,,,,
30/12/2013,4699,,,,,,
29/12/2013,4659,,,,,,
26/12/2013,4725,,,,,,
25/12/2013,4800,,,,,,
24/12/2013,4854,,,,,,
23/12/2013,4897,,,,,,
22/12/2013,4874,,,,,,
19/12/2013,4750,,,,,,
18/12/2013,4803,,,,,,
17/12/2013,4778,,,,,,
16/12/2013,4763,,,,,,
15/12/2013,4703,,,,,,
12/12/2013,4650,,,,,,
11/12/2013,4652,,,,,,
10/12/2013,4652,,,,,,
09/12/2013,4756,,,,,,
08/12/2013,4815,,,,,,
05/12/2013,4750,,,,,,
04/12/2013,4785,,,,,,
03/12/2013,4797,,,,,,
02/12/2013,4925,,,,,,
01/12/2013,4900,,,,,,
28/11/2013,4770,,,,,,
27/11/2013,4726,,,,,,
26/11/2013,4911,,,,,,
25/11/2013,4825,,,,,,
24/11/2013,4970,,,,,,
21/11/2013,4865,,,,,,
20/11/2013,4823,,,,,,
19/11/2013,4718,,,,,,
18/11/2013,4606,,,,,,
17/11/2013,4540,,,,,,
14/11/2013,4550,,,,,,
13/11/2013,4600,,,,,,
12/11/2013,4400,,,,,,
11/11/2013,4300,,,,,,
10/11/2013,4392,,,,,,
07/11/2013,4222,,,,,,
06/11/2013,4198,,,,,,
05/11/2013,4109,,,,,,
04/11/2013,4094,,,,,,
03/11/2013,4120,,,,,,
31/10/2013,4124,,,,,,
30/10/2013,4173,,,,,,
29/10/2013,4184,,,,,,
28/10/2013,4125,,,,,,
27/10/2013,4186,,,,,,
24/10/2013,4140,,,,,,
23/10/2013,4136,,,,,,
22/10/2013,4209,,,,,,
21/10/2013,4189,,,,,,
20/10/2013,4233,,,,,,
17/10/2013,4180,,,,,,
16/10/2013,4245,,,,,,
15/10/2013,4218,,,,,,
14/10/2013,4256,,,,,,
13/10/2013,4202,,,,,,
10/10/2013,4244,,,,,,
09/10/2013,4229,,,,,,
08/10/2013,4260,,,,,,
07/10/2013,4179,,,,,,
06/10/2013,4114,,,,,,
03/10/2013,4000,,,,,,
02/10/2013,3989,,,,,,
01/10/2013,3950,,,,,,
30/09/2013,3935,,,,,,
29/09/2013,3957,,,,,,
24/09/2013,3888,,,,,,
23/09/2013,3934,,,,,,
22/09/2013,3855,,,,,,
17/09/2013,3883,,,,,,
16/09/2013,3903,,,,,,
15/09/2013,3922,,,,,,
12/09/2013,3912,,,,,,
11/09/2013,3936,,,,,,
10/09/2013,3913,,,,,,
09/09/2013,3860,,,,,,
08/09/2013,3875,,,,,,
03/09/2013,3994,,,,,,
02/09/2013,4000,,,,,,
01/09/2013,3985,,,,,,
29/08/2013,3971,,,,,,
28/08/2013,3893,,,,,,
27/08/2013,3892,,,,,,
26/08/2013,4010,,,,,,
25/08/2013,4178,,,,,,
22/08/2013,4193,,,,,,
21/08/2013,4170,,,,,,
20/08/2013,4115,,,,,,
19/08/2013,4155,,,,,,
18/08/2013,4022,,,,,,
15/08/2013,4005,,,,,,
14/08/2013,4005,,,,,,
13/08/2013,3960,,,,,,
12/08/2013,3892,,,,,,
11/08/2013,3824,,,,,,
08/08/2013,3919,,,,,,
07/08/2013,3928,,,,,,
06/08/2013,3963,,,,,,
05/08/2013,3934,,,,,,
04/08/2013,3959,,,,,,
01/08/2013,4062,,,,,,
31/07/2013,3991,,,,,,
30/07/2013,3907,,,,,,
29/07/2013,3880,,,,,,
28/07/2013,3940,,,,,,
25/07/2013,3925,,,,,,
24/07/2013,3808,,,,,,
23/07/2013,3777,,,,,,
22/07/2013,3826,,,,,,
21/07/2013,3770,,,,,,
18/07/2013,3722,,,,,,
17/07/2013,3627,,,,,,
15/07/2013,3605,,,,,,
14/07/2013,3551,,,,,,
11/07/2013,3499,,,,,,
10/07/2013,3435,,,,,,
09/07/2013,3451,,,,,,
08/07/2013,3393,,,,,,
07/07/2013,3305,,,,,,
04/07/2013,3330,,,,,,
03/07/2013,3333,,,,,,
02/07/2013,3347,,,,,,
01/07/2013,3329,,,,,,
30/06/2013,3373,,,,,,
27/06/2013,3375,,,,,,
26/06/2013,3386,,,,,,
25/06/2013,3360,,,,,,
24/06/2013,3264,,,,,,
23/06/2013,3250,,,,,,
20/06/2013,3306,,,,,,
19/06/2013,3319,,,,,,
18/06/2013,3349,,,,,,
17/06/2013,3373,,,,,,
16/06/2013,3339,,,,,,
13/06/2013,3355,,,,,,
12/06/2013,3360,,,,,,
11/06/2013,3335,,,,,,
10/06/2013,3307,,,,,,
09/06/2013,3281,,,,,,
06/06/2013,3240,,,,,,
05/06/2013,3287,,,,,,
04/06/2013,3282,,,,,,
03/06/2013,3240,,,,,,
02/06/2013,3232,,,,,,
30/05/2013,3220,,,,,,
29/05/2013,3277,,,,,,
28/05/2013,3354,,,,,,
27/05/2013,3320,,,,,,
26/05/2013,3254,,,,,,
23/05/2013,3240,,,,,,
22/05/2013,3260,,,,,,
21/05/2013,3299,,,,,,
20/05/2013,3200,,,,,,
19/05/2013,3144,,,,,,
16/05/2013,3154,,,,,,
13/05/2013,3275,,,,,,
12/05/2013,3356,,,,,,
09/05/2013,3429,,,,,,
08/05/2013,3497,,,,,,
07/05/2013,3487,,,,,,
06/05/2013,3486,,,,,,
05/05/2013,3498,,,,,,
02/05/2013,3495,,,,,,
01/05/2013,3522,,,,,,
30/04/2013,3470,,,,,,
29/04/2013,3385,,,,,,
28/04/2013,3301,,,,,,
25/04/2013,3316,,,,,,
24/04/2013,3276,,,,,,
23/04/2013,3324,,,,,,
22/04/2013,3352,,,,,,
21/04/2013,3397,,,,,,
18/04/2013,3307,,,,,,
17/04/2013,3331,,,,,,
14/04/2013,3400,,,,,,
11/04/2013,3436,,,,,,
10/04/2013,3356,,,,,,
09/04/2013,3227,,,,,,
08/04/2013,3052,,,,,,
07/04/2013,2966,,,,,,
04/04/2013,3011,,,,,,
03/04/2013,3022,,,,,,
02/04/2013,3004,,,,,,
28/03/2013,3046,,,,,,
27/03/2013,3085,,,,,,
24/03/2013,3098,,,,,,
21/03/2013,3109,,,,,,
20/03/2013,3156,,,,,,
19/03/2013,3051,,,,,,
18/03/2013,2975,,,,,,
17/03/2013,2924,,,,,,
14/03/2013,2894,,,,,,
13/03/2013,2827,,,,,,
12/03/2013,2810,,,,,,
11/03/2013,2778,,,,,,
10/03/2013,2803,,,,,,
07/03/2013,2809,,,,,,
06/03/2013,2787,,,,,,
05/03/2013,2725,,,,,,
04/03/2013,2702,,,,,,
03/03/2013,2679,,,,,,
28/02/2013,2715,,,,,,
27/02/2013,2710,,,,,,
26/02/2013,2709,,,,,,
25/02/2013,2713,,,,,,
21/02/2013,2757,,,,,,
20/02/2013,2825,,,,,,
19/02/2013,2812,,,,,,
18/02/2013,2780,,,,,,
17/02/2013,2813,,,,,,
14/02/2013,2821,,,,,,
13/02/2013,2843,,,,,,
12/02/2013,2842,,,,,,
11/02/2013,2817,,,,,,
10/02/2013,2760,,,,,,
07/02/2013,2828,,,,,,
06/02/2013,2861,,,,,,
05/02/2013,2825,,,,,,
04/02/2013,2805,,,,,,
03/02/2013,2855,,,,,,
31/01/2013,2772,,,,,,
30/01/2013,2710,,,,,,
29/01/2013,2734,,,,,,
28/01/2013,2804,,,,,,
27/01/2013,2837,,,,,,
24/01/2013,2920,,,,,,
23/01/2013,3000,,,,,,
21/01/2013,3026,,,,,,
20/01/2013,3049,,,,,,
17/01/2013,3083,,,,,,
16/01/2013,3099,,,,,,
15/01/2013,3044,,,,,,
14/01/2013,3071,,,,,,
13/01/2013,3102,,,,,,
10/01/2013,3048,,,,,,
09/01/2013,3120,,,,,,
08/01/2013,3118,,,,,,
07/01/2013,3166,,,,,,
06/01/2013,3240,,,,,,
03/01/2013,3162,,,,,,
02/01/2013,3123,,,,,,
01/01/2013,3125,,,,,,
31/12/2012,3075,,,,,,
30/12/2012,3074,,,,,,
27/12/2012,3112,,,,,,
26/12/2012,3239,,,,,,
25/12/2012,3215,,,,,,
24/12/2012,3307,,,,,,
23/12/2012,3367,,,,,,
20/12/2012,3465,,,,,,
19/12/2012,3410,,,,,,
18/12/2012,3375,,,,,,
17/12/2012,3384,,,,,,
16/12/2012,3450,,,,,,
13/12/2012,3535,,,,,,
12/12/2012,3578,,,,,,
11/12/2012,3606,,,,,,
10/12/2012,3566,,,,,,
09/12/2012,3603,,,,,,
06/12/2012,3530,,,,,,
05/12/2012,3642,,,,,,
04/12/2012,3695,,,,,,
03/12/2012,3803,,,,,,
02/12/2012,3905,,,,,,
29/11/2012,3789,,,,,,
28/11/2012,3635,,,,,,
27/11/2012,3731,,,,,,
26/11/2012,3752,,,,,,
25/11/2012,3740,,,,,,
22/11/2012,3730,,,,,,
21/11/2012,3656,,,,,,
20/11/2012,3687,,,,,,
19/11/2012,3616,,,,,,
18/11/2012,3591,,,,,,
15/11/2012,3500,,,,,,
14/11/2012,3575,,,,,,
13/11/2012,3600,,,,,,
12/11/2012,3477,,,,,,
11/11/2012,3429,,,,,,
08/11/2012,3363,,,,,,
07/11/2012,3446,,,,,,
06/11/2012,3446,,,,,,
05/11/2012,3440,,,,,,
04/11/2012,3435,,,,,,
01/11/2012,3475,,,,,,
31/10/2012,3470,,,,,,
30/10/2012,3487,,,,,,
29/10/2012,3406,,,,,,
28/10/2012,3451,,,,,,
25/10/2012,3499,,,,,,
24/10/2012,3457,,,,,,
23/10/2012,3516,,,,,,
22/10/2012,3662,,,,,,
21/10/2012,3620,,,,,,
18/10/2012,3663,,,,,,
17/10/2012,3632,,,,,,
16/10/2012,3587,,,,,,
15/10/2012,3604,,,,,,
14/10/2012,3620,,,,,,
11/10/2012,3412,,,,,,
10/10/2012,3396,,,,,,
09/10/2012,3365,,,,,,
04/10/2012,3319,,,,,,
03/10/2012,3305,,,,,,
02/10/2012,3351,,,,,,
27/09/2012,3365,,,,,,
24/09/2012,3475,,,,,,
23/09/2012,3390,,,,,,
20/09/2012,3250,,,,,,
